OBJECTID,Type,Provider,Remarks,SSID,Activated
8337,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18
8338,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18
8339,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18
8340,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-10-23
174,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
175,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
176,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
177,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
178,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
179,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
180,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
181,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
182,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
183,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
184,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
185,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
186,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
187,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
188,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
189,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
190,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
191,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
192,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
193,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
194,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
195,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
196,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
197,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
198,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
199,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
200,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
201,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
202,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
203,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
204,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
205,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
206,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
207,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
208,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
209,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
210,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
211,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
212,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
213,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
214,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
215,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
216,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
217,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
218,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
219,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
220,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
221,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
222,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
223,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
224,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
225,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
226,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
8341,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-09-18
8342,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-02
8343,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-23
8344,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-02
231,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
232,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
233,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
234,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
235,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
236,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
237,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
238,Free,Downtown Brooklyn,,Downtown Brooklyn WiFi,
8345,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8346,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-15
8347,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-15
8348,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-10
247,Free,NYPL,,NYPL,
248,Free,NYPL,,NYPL,
249,Free,BPL,,BPLUNWIRED,
250,Free,BPL,,BPLUNWIRED,
251,Free,NYPL,,NYPL,
252,Free,BPL,,BPLUNWIRED,
253,Free,BPL,,BPLUNWIRED,
254,Free,QPL,,QBPL_WIRELESS,
255,Free,NYPL,,NYPL,
256,Free,QPL,,QBPL_WIRELESS,
257,Free,NYPL,,NYPL,
258,Free,BPL,,BPLUNWIRED,
259,Free,BPL,,BPLUNWIRED,
260,Free,NYPL,,NYPL,
261,Free,NYPL,,NYPL,
262,Free,QPL,,QBPL_WIRELESS,
263,Free,NYPL,,NYPL,
264,Free,QPL,,QBPL_WIRELESS,
265,Free,NYPL,,NYPL,
266,Free,NYPL,,NYPL,
267,Free,QPL,,QBPL_WIRELESS,
268,Free,BPL,,BPLUNWIRED,
269,Free,NYPL,,NYPL,
270,Free,NYPL,,NYPL,
271,Free,NYPL,,NYPL,
272,Free,NYPL,,NYPL,
273,Free,QPL,,QBPL_WIRELESS,
274,Free,NYPL,,NYPL,
275,Free,NYPL,,NYPL,
276,Free,QPL,,QBPL_WIRELESS,
277,Free,NYPL,,NYPL,
278,Free,NYPL,,NYPL,
279,Free,NYPL,,NYPL,
280,Free,QPL,,QBPL_WIRELESS,
281,Free,NYPL,,NYPL,
282,Free,NYPL,,NYPL,
283,Free,BPL,,BPLUNWIRED,
284,Free,QPL,,QBPL_WIRELESS,
285,Free,BPL,,BPLUNWIRED,
286,Free,NYPL,,NYPL,
287,Free,BPL,,BPLUNWIRED,
288,Free,BPL,,BPLUNWIRED,
289,Free,QPL,,QBPL_WIRELESS,
290,Free,BPL,,BPLUNWIRED,
291,Free,QPL,,QBPL_WIRELESS,
292,Free,QPL,,QBPL_WIRELESS,
293,Free,NYPL,,NYPL,
294,Free,NYPL,,NYPL,
295,Free,NYPL,,NYPL,
296,Free,NYPL,,NYPL,
297,Free,QPL,,QBPL_WIRELESS,
298,Free,BPL,,BPLUNWIRED,
299,Free,BPL,,BPLUNWIRED,
300,Free,QPL,,QBPL_WIRELESS,
301,Free,BPL,,BPLUNWIRED,
302,Free,NYPL,,NYPL,
303,Free,QPL,,QBPL_WIRELESS,
304,Free,BPL,,BPLUNWIRED,
305,Free,NYPL,,NYPL,
306,Free,NYPL,,NYPL,
307,Free,BPL,,BPLUNWIRED,
308,Free,QPL,,QBPL_WIRELESS,
309,Free,NYPL,,NYPL,
310,Free,QPL,,QBPL_WIRELESS,
311,Free,BPL,,BPLUNWIRED,
312,Free,BPL,,BPLUNWIRED,
313,Free,QPL,,QBPL_WIRELESS,
314,Free,QPL,,QBPL_WIRELESS,
315,Free,QPL,,QBPL_WIRELESS,
316,Free,BPL,,BPLUNWIRED,
317,Free,QPL,,QBPL_WIRELESS,
318,Free,NYPL,,NYPL,
319,Free,NYPL,,NYPL,
320,Free,NYPL,,NYPL,
321,Free,BPL,,BPLUNWIRED,
322,Free,BPL,,BPLUNWIRED,
323,Free,BPL,,BPLUNWIRED,
324,Free,NYPL,,NYPL,
325,Free,BPL,Temporary Closing,BPLUNWIRED,
326,Free,QPL,,QBPL_WIRELESS,
327,Free,BPL,,BPLUNWIRED,
328,Free,QPL,,QBPL_WIRELESS,
329,Free,QPL,,QBPL_WIRELESS,
330,Free,QPL,,QBPL_WIRELESS,
331,Free,NYPL,Temporary Closing,NYPL,
332,Free,QPL,,QBPL_WIRELESS,
333,Free,NYPL,,NYPL,
334,Free,QPL,,QBPL_WIRELESS,
335,Free,BPL,,BPLUNWIRED,
336,Free,QPL,,QBPL_WIRELESS,
337,Free,BPL,,BPLUNWIRED,
338,Free,QPL,,QBPL_WIRELESS,
339,Free,NYPL,,NYPL,
340,Free,BPL,,BPLUNWIRED,
341,Free,BPL,,BPLUNWIRED,
342,Free,NYPL,,NYPL,
343,Free,QPL,,QBPL_WIRELESS,
344,Free,QPL,,QBPL_WIRELESS,
345,Free,NYPL,,NYPL,
346,Free,NYPL,,NYPL,
347,Free,BPL,,BPLUNWIRED,
348,Free,QPL,,QBPL_WIRELESS,
349,Free,QPL,,QBPL_WIRELESS,
350,Free,NYPL,,NYPL,
351,Free,NYPL,,NYPL,
352,Free,NYPL,,NYPL,
353,Free,QPL,,QBPL_WIRELESS,
354,Free,QPL,,QBPL_WIRELESS,
355,Free,BPL,,BPLUNWIRED,
356,Free,BPL,,BPLUNWIRED,
357,Free,BPL,,BPLUNWIRED,
358,Free,QPL,,QBPL_WIRELESS,
359,Free,NYPL,,NYPL,
360,Free,NYPL,,NYPL,
361,Free,QPL,,QBPL_WIRELESS,
362,Free,NYPL,,NYPL,
363,Free,BPL,,BPLUNWIRED,
364,Free,QPL,,QBPL_WIRELESS,
365,Free,BPL,,BPLUNWIRED,
366,Free,BPL,,BPLUNWIRED,
367,Free,NYPL,,NYPL,
368,Free,QPL,,QBPL_WIRELESS,
369,Free,QPL,Temporary Closing,QBPL_WIRELESS,
370,Free,QPL,,QBPL_WIRELESS,
371,Free,BPL,,BPLUNWIRED,
372,Free,BPL,,BPLUNWIRED,
373,Free,QPL,,QBPL_WIRELESS,
374,Free,BPL,,BPLUNWIRED,
375,Free,NYPL,,NYPL,
376,Free,QPL,,QBPL_WIRELESS,
377,Free,QPL,,QBPL_WIRELESS,
378,Free,QPL,,QBPL_WIRELESS,
379,Free,BPL,,BPLUNWIRED,
380,Free,NYPL,,NYPL,
381,Free,QPL,,QBPL_WIRELESS,
382,Free,NYPL,,NYPL,
383,Free,NYPL,,NYPL,
384,Free,NYPL,,NYPL,
385,Free,NYPL,,NYPL,
386,Free,QPL,,QBPL_WIRELESS,
387,Free,QPL,,QBPL_WIRELESS,
388,Free,QPL,,QBPL_WIRELESS,
389,Free,BPL,,BPLUNWIRED,
390,Free,QPL,,QBPL_WIRELESS,
391,Free,BPL,,BPLUNWIRED,
392,Free,BPL,,BPLUNWIRED,
393,Free,QPL,,QBPL_WIRELESS,
394,Free,NYPL,,NYPL,
395,Free,NYPL,Temporary Closing,NYPL,
396,Free,NYPL,,NYPL,
397,Free,QPL,,QBPL_WIRELESS,
398,Free,QPL,,QBPL_WIRELESS,
399,Free,NYPL,,NYPL,
400,Free,QPL,,QBPL_WIRELESS,
401,Free,BPL,,BPLUNWIRED,
402,Free,BPL,,BPLUNWIRED,
403,Free,QPL,,QBPL_WIRELESS,
404,Free,NYPL,,NYPL,
405,Free,NYPL,,NYPL,
406,Free,BPL,,BPLUNWIRED,
407,Free,NYPL,,NYPL,
408,Free,NYPL,,NYPL,
409,Free,BPL,,BPLUNWIRED,
410,Free,NYPL,,NYPL,
411,Free,NYPL,,NYPL,
412,Free,NYPL,,NYPL,
413,Free,BPL,,BPLUNWIRED,
414,Free,NYPL,,NYPL,
415,Free,NYPL,,NYPL,
416,Free,NYPL,,NYPL,
417,Free,NYPL,,NYPL,
418,Free,QPL,,QBPL_WIRELESS,
419,Free,QPL,,QBPL_WIRELESS,
420,Free,NYPL,,NYPL,
421,Free,NYPL,,NYPL,
422,Free,NYPL,,NYPL,
423,Free,NYPL,,NYPL,
424,Free,NYPL,,NYPL,
425,Free,QPL,,QBPL_WIRELESS,
426,Free,QPL,,QBPL_WIRELESS,
427,Free,BPL,,BPLUNWIRED,
428,Free,NYPL,,NYPL,
429,Free,QPL,,QBPL_WIRELESS,
430,Free,NYPL,,NYPL,
431,Free,NYPL,,NYPL,
432,Free,NYPL,,NYPL,
433,Free,NYPL,,NYPL,
434,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
435,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
436,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
437,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
438,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
439,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
440,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
441,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
442,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
443,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
444,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
445,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
446,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
447,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
448,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
449,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
450,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
451,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
452,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
453,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
454,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
455,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
456,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
457,Free,Manhattan Down Alliance,,#DwtwnAllianceFreeWiFi,
458,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
459,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
460,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
461,Limited Free,SPECTRUM,3 free 10 min sessions,GuestWiFi,
462,Free,Harlem,,Harlem Wi-Fi,
463,Free,Harlem,,Harlem Wi-Fi,
464,Free,Harlem,,Harlem Wi-Fi,
465,Free,Harlem,,Harlem Wi-Fi,
466,Free,Harlem,,Harlem Wi-Fi,
467,Free,Harlem,,Harlem Wi-Fi,
468,Free,Harlem,,Harlem Wi-Fi,
469,Free,Harlem,,Harlem Wi-Fi,
470,Free,Harlem,,Harlem Wi-Fi,
471,Free,Harlem,,Harlem Wi-Fi,
472,Free,Harlem,,Harlem Wi-Fi,
473,Free,Harlem,,Harlem Wi-Fi,
474,Free,Harlem,,Harlem Wi-Fi,
475,Free,Harlem,,Harlem Wi-Fi,
476,Free,Harlem,,Harlem Wi-Fi,
477,Free,Harlem,,Harlem Wi-Fi,
478,Free,Harlem,,Harlem Wi-Fi,
479,Free,Harlem,,Harlem Wi-Fi,
480,Free,Harlem,,Harlem Wi-Fi,
481,Free,Harlem,,Harlem Wi-Fi,
482,Free,Harlem,,Harlem Wi-Fi,
483,Free,Harlem,,Harlem Wi-Fi,
484,Free,Harlem,,Harlem Wi-Fi,
485,Free,Harlem,,Harlem Wi-Fi,
486,Free,Harlem,,Harlem Wi-Fi,
487,Free,Harlem,,Harlem Wi-Fi,
488,Free,Harlem,,Harlem Wi-Fi,
489,Free,Harlem,,Harlem Wi-Fi,
490,Free,Harlem,,Harlem Wi-Fi,
491,Free,Harlem,,Harlem Wi-Fi,
492,Free,Harlem,,Harlem Wi-Fi,
493,Free,Harlem,,Harlem Wi-Fi,
494,Free,Harlem,,Harlem Wi-Fi,
495,Free,Harlem,,Harlem Wi-Fi,
496,Free,Harlem,,Harlem Wi-Fi,
497,Free,Harlem,,Harlem Wi-Fi,
498,Free,Harlem,,Harlem Wi-Fi,
499,Free,Harlem,,Harlem Wi-Fi,
500,Free,Harlem,,Harlem Wi-Fi,
501,Free,Transit Wireless,SN 471,TransitWirelessWiFi,
502,Free,Transit Wireless,SN 476,TransitWirelessWiFi,
503,Free,Transit Wireless,SN 477,TransitWirelessWiFi,
504,Free,Transit Wireless,SN 222,TransitWirelessWiFi,
505,Free,Transit Wireless,SN 223,TransitWirelessWiFi,
506,Free,Transit Wireless,SN 475,TransitWirelessWiFi,
8349,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-01-05
8350,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-08-10
8351,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,
8352,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-21
8353,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-21
8354,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2017-11-21
8355,Free,LinkNYC - Citybridge,"Tablet Internet -phone , Free 1 GB Wi-FI Service",LinkNYC Free Wi-Fi,2018-02-12
521,Free,City Tech,,DowntownBrooklynWiFi_Fon,
522,Free,City Tech,,DowntownBrooklynWiFi_Fon,
523,Free,City Tech,,DowntownBrooklynWiFi_Fon,
